32
0	1615	1293	1140	1872	1411	1298	1592	1406	1257	1528	1416	1878	1675	1062	1413	1153	1808	1311	1589	1535	1161	1332	1571	1254	1262	1948	1706	1993	1111	1907	1438	
1615	0	1398	1260	1376	1884	1359	1758	1169	1648	1497	1602	1984	1317	1532	1374	1363	1838	1382	1745	1381	1926	1105	1970	1954	1167	1178	1965	1404	1618	1961	1530	
1293	1398	0	1147	1440	1710	2007	1793	1504	1506	1423	1905	1383	1297	1698	1521	1386	1979	1077	1677	1670	1962	1202	1410	1384	1514	1740	1451	2035	1771	1577	1798	
1140	1260	1147	0	1942	1059	1855	1654	1399	1117	2024	1150	2033	1552	1813	1551	1103	1252	1143	1877	1663	2029	1072	1761	1556	1181	1322	1783	2028	1448	1920	1271	
1872	1376	1440	1942	0	1294	1291	1619	1335	1356	1590	1622	1100	1198	1537	1299	1606	1168	1286	1227	1842	1331	2039	1075	1644	1327	1817	1800	1428	1989	1561	1901	
1411	1884	1710	1059	1294	0	1282	1067	1668	1320	1517	1608	1212	1484	1701	1759	1637	1110	1353	1333	1823	1696	1036	1278	1259	1741	1665	2047	1896	1070	1655	1124	
1298	1359	2007	1855	1291	1282	0	1579	1966	2043	1092	1865	1690	1377	1563	1845	1401	1836	1641	1367	1934	1797	1314	1220	1787	1029	1856	1732	1659	1433	1903	1624	
1592	1758	1793	1654	1619	1067	1579	0	1874	1527	1393	1300	1460	1866	1295	1524	1695	1108	2044	1279	1893	1511	1791	1844	1875	1360	1911	1819	1995	1730	1749	1987	
1406	1169	1504	1399	1335	1668	1966	1874	0	1977	2032	1243	1407	1193	1190	1501	1280	1999	1232	1249	1667	1128	1912	1478	1513	1638	1101	1135	1390	1853	1691	1858	
1257	1648	1506	1117	1356	1320	2043	1527	1977	0	1846	1940	1209	1130	1839	1686	1463	1682	1646	2020	1366	1058	1095	1034	1840	1175	1373	1763	1636	1397	1104	1512	
1528	1497	1423	2024	1590	1517	1092	1393	2032	1846	0	1810	1303	1307	2041	1776	1647	1769	1385	1559	1951	1520	1748	1955	1112	1739	1570	1141	2013	1508	1869	2046	
1416	1602	1905	1150	1622	1608	1865	1300	1243	1940	1810	0	1625	1802	1336	1789	1502	1284	1687	1375	1764	1087	1545	1718	1613	1224	1714	2048	1773	2002	1585	1576	
1878	1984	1383	2033	1100	1212	1690	1460	1407	1209	1303	1625	0	1742	1290	1550	1565	1507	1825	1712	1944	2014	1114	1470	1662	1063	1089	1578	1446	1906	1348	1055	
1675	1317	1297	1552	1198	1484	1377	1866	1193	1130	1307	1802	1742	0	1107	1591	1157	1324	1779	1612	1956	1933	1573	1132	1346	1936	1790	1340	1466	1043	1302	1219	
1062	1532	1698	1813	1537	1701	1563	1295	1190	1839	2041	1336	1290	1107	0	1188	1426	1045	1309	1160	1129	1047	1436	1603	1073	1604	1902	1777	1539	1716	1462	1666	
1413	1374	1521	1551	1299	1759	1845	1524	1501	1686	1776	1789	1550	1591	1188	0	1334	1435	1325	1833	1609	1475	1250	1782	1822	1133	1225	1988	1142	1275	1815	1957	
1153	1363	1386	1103	1606	1637	1401	1695	1280	1463	1647	1502	1565	1157	1426	1334	0	1028	1046	1116	1253	1182	1980	1122	1264	1256	1914	1246	1720	1621	1992	1574	
1808	1838	1979	1252	1168	1110	1836	1108	1999	1682	1769	1284	1507	1324	1045	1435	1028	0	1057	1041	1485	1369	1341	1316	1555	1292	1755	1620	1080	1544	1347	1778	
1311	1382	1077	1143	1286	1353	1641	2044	1232	1646	1385	1687	1825	1779	1309	1325	1046	1057	0	1930	1857	1868	1503	1289	1960	1785	1963	1165	1468	1510	1924	1864	
1589	1745	1677	1877	1227	1333	1367	1279	1249	2020	1559	1375	1712	1612	1160	1833	1116	1041	1930	0	1976	1526	1205	1488	1781	1627	1628	1917	1806	1240	1719	1207	
1535	1381	1670	1663	1842	1823	1934	1893	1667	1366	1951	1764	1944	1956	1129	1609	1253	1485	1857	1976	0	1854	1159	1267	1889	1968	1635	1472	1981	1729	1388	1274	
