24
0	1091	680	985	693	619	946	724	1039	813	870	922	1083	747	911	778	944	1128	608	716	733	871	757	1126	
1091	0	697	654	642	1134	777	1047	1085	972	740	1023	730	986	687	833	828	804	984	694	1081	659	897	803	
680	697	0	908	932	860	651	648	1056	702	819	1103	1107	768	1093	667	825	909	1034	695	886	765	993	1124	
985	654	908	0	627	1033	584	1020	633	741	760	685	1114	736	721	876	618	1043	967	1122	726	1006	867	980	
693	642	932	627	0	672	701	647	746	1029	595	982	691	700	670	994	1004	665	1092	597	863	1149	787	832	
619	1134	860	1033	672	0	751	955	576	805	1072	606	728	668	1080	1017	968	892	1094	1118	941	954	1075	1000	
946	777	651	584	701	751	0	614	789	601	883	779	720	1131	711	1021	745	616	776	599	875	587	795	1057	
724	1047	648	1020	647	955	614	0	975	591	935	661	1090	657	983	1077	943	621	947	598	628	754	1031	1100	
1039	1085	1056	633	746	576	789	975	0	692	784	856	681	772	995	902	602	801	699	715	1096	1036	617	763	
813	972	702	741	1029	805	601	591	692	0	927	939	830	1064	857	579	934	1059	752	1060	609	1088	1113	925	
870	740	819	760	595	1072	883	935	784	927	0	1133	637	937	1130	583	877	1121	1078	1106	631	717	848	729	
922	1023	1103	685	982	606	779	661	856	939	1133	0	906	714	822	722	626	1042	987	942	1001	928	1041	690	
1083	730	1107	1114	691	728	720	1090	681	830	637	906	0	705	578	1025	644	748	1009	1048	641	615	997	594	
747	986	768	736	700	668	1131	657	772	1064	937	714	705	0	814	1143	1137	885	1069	887	1014	649	1104	1010	
911	687	1093	721	670	1080	711	983	995	857	1130	822	578	814	0	624	836	827	703	1140	1066	749	791	965	
778	833	667	876	994	1017	1021	1077	902	579	583	722	1025	1143	624	0	992	640	899	945	816	623	1032	948	
944	828	825	618	1004	968	745	943	602	934	877	626	644	1137	836	992	0	655	853	662	1049	622	872	783	
1128	804	909	1043	665	892	616	621	801	1059	1121	1042	748	885	827	640	655	0	630	1008	698	851	933	891	
608	984	1034	967	1092	1094	776	947	699	752	1078	987	1009	1069	703	899	853	630	0	1116	847	1082	586	1142	
716	694	695	1122	597	1118	599	598	715	1060	1106	942	1048	887	1140	945	662	1008	1116	0	709	861	889	1028	
733	1081	886	726	863	941	875	628	1096	609	631	1001	641	1014	1066	816	1049	698	847	709	0	854	781	971	
871	659	765	1006	1149	954	587	754	1036	1088	717	928	615	649	749	623	622	851	1082	861	854	0	1101	1016	
757	897	993	867	787	1075	795	1031	617	1113	848	1041	997	1104	791	1032	872	933	586	889	781	1101	0	582	
1126	803	1124	980	832	1000	1057	1100	763	925	729	690	594	1010	965	948	783	891	1142	1028	971	1016	582	0	
